date,place,section,subject,time,title,url
9 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,15:15,Встреча с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/54016
9 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:45,Встреча с главой МИД Германии Зигмаром Габриэлем,http://kremlin.ru/catalog/keywords/82/events/54018
10 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,14:15,Встреча с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/54021
10 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,19:30,Заседание Совета сотрудничества высшего уровня между Россией и Турцией,http://kremlin.ru/catalog/keywords/82/events/54022
10 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,19:40,Совместная пресс-конференция с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/54023
10 марта 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",20:45,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/54024
13 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Вооружённые Силы, Регионы, Социальная сфера",14:05,Встреча с полпредом Президента в Приволжском федеральном округе Михаилом Бабичем,http://kremlin.ru/catalog/keywords/82/events/54030
17 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:00,Встреча с Президентом Молдовы Игорем Додоном,http://kremlin.ru/catalog/keywords/82/events/54059
18 марта 2017 года,,Новости,Внешняя политика,12:20,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/54060
,,"Новости, Анонсы",Внешняя политика,,23 марта Владимир Путин встретится с Президентом Шри-Ланки Майтрипалой Сирисеной,http://kremlin.ru/catalog/keywords/82/events/54067
20 марта 2017 года,,Новости,Внешняя политика,14:50,Телефонный разговор с Президентом Киргизии Алмазбеком Атамбаевым,http://kremlin.ru/catalog/keywords/82/events/54072
21 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,16:30,Встреча с Президентом Южной Осетии Леонидом Тибиловым,http://kremlin.ru/catalog/keywords/82/events/54082
